lr | reg | beta | wdecay | opt-rate | regret
0.1 | 0.01| 0.001 | 0.1 | 0.0977142857142857 | 0.23986630338419526
0.1 | 0.01| 1.0 | 0.1 | 0.105 | 0.23879925699859678
0.1 | 0.01| 0.0001 | 0.01 | 0.3955 | 0.017775159734762864
0.1 | 0.01| 0.1 | 0.1 | 0.105 | 0.23879925699859678
0.1 | 0.01| 0.01 | 0.1 | 0.102 | 0.23863922684819042
0.1 | 0.01| 0.0001 | 0.1 | 0.10000000000000002 | 0.2420084686883025
0.1 | 0.01| 0.0001 | 0.01 | 0.3955 | 0.017775159734762864
0.1 | 0.01| 0.001 | 0.01 | 0.403 | 0.017686960536221277
0.1 | 0.01| 0.01 | 0.01 | 0.402 | 0.017006440018798637
0.1 | 0.01| 0.1 | 0.01 | 0.362 | 0.023827066890545708
0.1 | 0.01| 1.0 | 0.01 | 0.274 | 0.1043018304548151
