lr | lambda | inverse_beta | M | wdecay | opt-rate| regret
0.1 | 0.01| 1e-06 | 1 | 0.1 | 0.10000000000000003 | 0.2416580854506413
0.1 | 0.01| 1e-05 | 1 | 0.1 | 0.08641666666666666 | 0.26993241475217394
0.1 | 0.01| 1e-06 | 10 | 0.1 | 0.10001111111111113 | 0.24203704400885467
0.1 | 0.01| 1e-06 | 20 | 0.1 | 0.10023174603174606 | 0.24183995420909554
0.1 | 0.01| 1e-06 | 50 | 0.1 | 0.1002261904761905 | 0.2425997796236718
0.1 | 0.01| 1e-05 | 10 | 0.1 | 0.10145 | 0.2627496934933258
0.1 | 0.01| 1e-05 | 20 | 0.1 | 0.10058333333333334 | 0.25797524660461146
0.1 | 0.01| 0.0001 | 1 | 0.1 | 0.088 | 0.25460476642093527
0.1 | 0.01| 1e-06 | 100 | 0.1 | 0.09968015873015876 | 0.24259284764278483
0.1 | 0.01| 1e-05 | 50 | 0.1 | 0.10466666666666667 | 0.23240346185458577
0.1 | 0.01| 0.0001 | 10 | 0.1 | 0.094 | 0.24686344578080144
0.1 | 0.01| 0.0001 | 20 | 0.1 | 0.097 | 0.2542519321711414
0.1 | 0.01| 0.001 | 1 | 0.1 | 0.089 | 0.26662701098972125
0.1 | 0.01| 0.001 | 10 | 0.1 | 0.111 | 0.214281563464317
0.1 | 0.01| 1e-05 | 100 | 0.1 | 0.10333333333333333 | 0.23239254120797806
0.1 | 0.01| 0.0001 | 50 | 0.1 | 0.1085 | 0.2280741475159036
0.1 | 0.01| 0.001 | 20 | 0.1 | 0.119 | 0.23834247114538898
0.1 | 0.01| 1e-06 | 1 | 0.01 | 0.361 | 0.022339114177913514
0.1 | 0.01| 0.001 | 50 | 0.1 | 0.1 | 0.25787279670104285
0.1 | 0.01| 1e-06 | 10 | 0.01 | 0.3985 | 0.018877763738430784
0.1 | 0.01| 0.0001 | 100 | 0.1 | 0.113 | 0.2406572918320328
0.1 | 0.01| 1e-06 | 20 | 0.01 | 0.387 | 0.01912019569554561
0.1 | 0.01| 1e-05 | 1 | 0.01 | 0.266 | 0.048104090966339184
0.1 | 0.01| 1e-05 | 10 | 0.01 | 0.274 | 0.041197985289400996
0.1 | 0.01| 1e-06 | 50 | 0.01 | 0.399 | 0.0188856643230184
0.1 | 0.01| 0.001 | 100 | 0.1 | 0.098 | 0.22625617826609618
0.1 | 0.01| 1e-05 | 20 | 0.01 | 0.303 | 0.035434939301047234
0.1 | 0.01| 0.0001 | 1 | 0.01 | 0.123 | 0.19538167192116632
0.1 | 0.01| 0.0001 | 10 | 0.01 | 0.11 | 0.20690418562807222
0.1 | 0.01| 1e-05 | 50 | 0.01 | 0.279 | 0.039660473458251126
0.1 | 0.01| 0.0001 | 20 | 0.01 | 0.096 | 0.2487213354952921
0.1 | 0.01| 1e-06 | 100 | 0.01 | 0.383 | 0.019587758516137886
0.1 | 0.01| 0.001 | 1 | 0.01 | 0.11 | 0.23783342747610256
0.1 | 0.01| 0.001 | 10 | 0.01 | 0.111 | 0.24869125545690948
0.1 | 0.01| 0.0001 | 50 | 0.01 | 0.099 | 0.22916896972175504
0.1 | 0.01| 1e-05 | 100 | 0.01 | 0.295 | 0.03412657195922943
0.1 | 0.01| 0.001 | 20 | 0.01 | 0.079 | 0.25325595877088325
0.1 | 0.01| 1e-06 | 1 | 0.001 | 0.29 | 0.04070437485880393
0.1 | 0.01| 1e-06 | 10 | 0.001 | 0.301 | 0.04107751877677964
0.1 | 0.01| 0.0001 | 100 | 0.01 | 0.1145 | 0.22254780522047435
0.1 | 0.01| 1e-06 | 20 | 0.001 | 0.312 | 0.03356990192676928
0.1 | 0.01| 0.001 | 50 | 0.01 | 0.093 | 0.2261126637799379
0.1 | 0.01| 1e-05 | 1 | 0.001 | 0.213 | 0.06558262253607654
0.1 | 0.01| 1e-05 | 10 | 0.001 | 0.207 | 0.07847577912067603
0.1 | 0.01| 1e-06 | 50 | 0.001 | 0.316 | 0.028392262792899782
0.1 | 0.01| 0.001 | 100 | 0.01 | 0.108 | 0.2510209466631168
0.1 | 0.01| 1e-05 | 20 | 0.001 | 0.217 | 0.05959163554392958
0.1 | 0.01| 0.0001 | 1 | 0.001 | 0.13 | 0.1566818304064571
0.1 | 0.01| 0.0001 | 10 | 0.001 | 0.128 | 0.17140795346109539
0.1 | 0.01| 1e-05 | 50 | 0.001 | 0.2375 | 0.05606285806794349
0.1 | 0.01| 1e-06 | 100 | 0.001 | 0.396 | 0.017726225669906875
0.1 | 0.01| 0.0001 | 20 | 0.001 | 0.12 | 0.16185955318909304
0.1 | 0.01| 0.001 | 1 | 0.001 | 0.10540000000000001 | 0.24588727221775616
