lr | lambda | wdecay | opt-rate | regret
0.1 | 0.01| 1.0 | 0.10000000000000002 | 0.2420084686883025
0.1 | 0.01| 0.1 | 0.10000000000000002 | 0.2420084686883025
0.1 | 0.01| 0.01 | 0.377 | 0.020116913338507972
0.1 | 0.01| 0.001 | 0.252 | 0.0457180269709163
0.1 | 0.01| 0.0001 | 0.194 | 0.07629348727374542
0.05 | 0.01| 1.0 | 0.10000000000000002 | 0.2420084686883025
0.05 | 0.01| 0.1 | 0.10000000000000002 | 0.2420084686883025
0.05 | 0.01| 0.01 | 0.28 | 0.03952375135854674
0.05 | 0.01| 0.001 | 0.235 | 0.057317079773140565
0.05 | 0.01| 0.0001 | 0.211 | 0.07577170651308783
0.01 | 0.01| 1.0 | 0.10000000000000002 | 0.2420084686883025
0.01 | 0.01| 0.1 | 0.10000000000000002 | 0.2420084686883025
0.01 | 0.01| 0.01 | 0.097 | 0.2362067914748015
0.01 | 0.01| 0.001 | 0.109 | 0.22762525584579968
0.01 | 0.01| 0.0001 | 0.116 | 0.22342484643205632
0.001 | 0.01| 1.0 | 0.10000000000000002 | 0.2420084686883025
0.001 | 0.01| 0.1 | 0.096 | 0.2253902731718643
0.001 | 0.01| 0.01 | 0.094 | 0.22719817403721268
0.001 | 0.01| 0.001 | 0.092 | 0.22416224951352684
0.001 | 0.01| 0.0001 | 0.0905 | 0.22394851806967164
