lr | lambda | beta | opt-rate | regret
0.001 | 0.01| 1.0 | 0.078 | 1.781035175656823
0.001 | 0.01| 10.0 | 0.043 | 1.928643494697782
0.001 | 0.01| 10.0 | 0.043 | 1.928643494697782
0.001 | 0.01| 1.0 | 0.077 | 1.785979732025315
0.001 | 0.01| 5.0 | 0.044 | 1.9226641709707013
0.001 | 0.01| 5.0 | 0.044 | 1.9226641709707013
0.01 | 0.01| 0.001 | 0.554 | 0.3828964144441782
0.01 | 0.01| 0.001 | 0.554 | 0.3828964144441782
0.01 | 0.01| 0.1 | 0.501 | 0.4916715262569185
0.01 | 0.01| 0.01 | 0.552 | 0.38722560914855136
0.01 | 0.01| 0.01 | 0.552 | 0.38722560914855136
0.01 | 0.01| 0.1 | 0.501 | 0.4916715262569185
0.01 | 0.01| 1.0 | 0.012 | 2.0876027827312873
0.01 | 0.01| 5.0 | 0.005 | 2.1118675222164622
0.01 | 0.01| 1.0 | 0.012 | 2.0876027827312873
0.01 | 0.01| 10.0 | 0.004 | 2.117547569671595
0.01 | 0.01| 10.0 | 0.004 | 2.117547569671595
0.01 | 0.01| 5.0 | 0.005 | 2.1118675222164622
0.05 | 0.01| 0.001 | 0.625 | 0.26462903819633354
0.05 | 0.01| 0.001 | 0.625 | 0.26462903819633354
0.05 | 0.01| 0.01 | 0.622 | 0.2691501076801222
0.05 | 0.01| 0.01 | 0.622 | 0.2691501076801222
0.05 | 0.01| 0.1 | 0.594 | 0.3212454627494067
0.05 | 0.01| 0.1 | 0.594 | 0.3212454627494067
0.05 | 0.01| 1.0 | 0.038 | 2.0247000231309236
0.05 | 0.01| 1.0 | 0.038 | 2.0247000231309236
0.05 | 0.01| 10.0 | 0.003 | 2.156610500426191
0.05 | 0.01| 5.0 | 0.004 | 2.1536226412022557
0.05 | 0.01| 5.0 | 0.004 | 2.1536226412022557
0.05 | 0.01| 10.0 | 0.003 | 2.156610500426191
0.1 | 0.01| 0.001 | 0.616 | 0.2634338474002776
0.1 | 0.01| 0.001 | 0.616 | 0.2634338474002776
0.1 | 0.01| 0.01 | 0.614 | 0.2652725347802843
0.1 | 0.01| 0.01 | 0.614 | 0.2652725347802843
0.1 | 0.01| 0.1 | 0.604 | 0.2888792589298065
0.1 | 0.01| 0.1 | 0.604 | 0.2888792589298065
0.1 | 0.01| 5.0 | 0.003 | 2.1760265717802154
0.1 | 0.01| 1.0 | 0.014 | 2.1354378905434888
0.1 | 0.01| 1.0 | 0.014 | 2.1354378905434888
0.1 | 0.01| 5.0 | 0.003 | 2.1760265717802154
0.1 | 0.01| 10.0 | 0.003 | 2.176647055431401
0.1 | 0.01| 10.0 | 0.003 | 2.176647055431401
