lr | lambda | beta | opt-rate | regret
0.001 | 0.01| 0.01 | 0.397 | 0.7473373880063116
0.001 | 0.01| 0.1 | 0.391 | 0.7481238200885802
0.001 | 0.01| 0.01 | 0.397 | 0.7473373880063116
0.001 | 0.01| 0.1 | 0.391 | 0.7481238200885802
0.001 | 0.01| 0.001 | 0.399 | 0.741263293047873
0.001 | 0.01| 0.001 | 0.399 | 0.741263293047873
0.001 | 0.01| 1.0 | 0.056 | 1.8437993550096239
0.001 | 0.01| 1.0 | 0.056 | 1.8437993550096239
0.001 | 0.01| 5.0 | 0.031 | 1.955191754688606
0.001 | 0.01| 10.0 | 0.031 | 1.9548765536746524
0.001 | 0.01| 10.0 | 0.031 | 1.9548765536746524
0.001 | 0.01| 5.0 | 0.031 | 1.955191754688606
0.01 | 0.01| 0.001 | 0.554 | 0.383429137912167
0.01 | 0.01| 0.01 | 0.554 | 0.3837442332988153
0.01 | 0.01| 0.001 | 0.554 | 0.383429137912167
0.01 | 0.01| 0.01 | 0.554 | 0.3837442332988153
0.01 | 0.01| 0.1 | 0.546 | 0.4066031902345428
0.01 | 0.01| 0.1 | 0.546 | 0.4066031902345428
0.01 | 0.01| 1.0 | 0.022 | 2.057026417254234
0.01 | 0.01| 1.0 | 0.022 | 2.057026417254234
0.01 | 0.01| 5.0 | 0.002 | 2.1307179980439255
0.01 | 0.01| 5.0 | 0.002 | 2.1307179980439255
0.01 | 0.01| 10.0 | 0.002 | 2.1310257553153398
0.01 | 0.01| 10.0 | 0.002 | 2.1310257553153398
0.05 | 0.01| 0.001 | 0.625 | 0.2641293501205795
0.05 | 0.01| 0.001 | 0.625 | 0.2641293501205795
0.05 | 0.01| 0.01 | 0.625 | 0.2650923151191995
0.05 | 0.01| 0.01 | 0.625 | 0.2650923151191995
0.05 | 0.01| 0.1 | 0.613 | 0.28722979665799825
0.05 | 0.01| 0.1 | 0.613 | 0.28722979665799825
0.05 | 0.01| 1.0 | 0.058 | 1.9382111764329881
0.05 | 0.01| 1.0 | 0.058 | 1.9382111764329881
0.05 | 0.01| 5.0 | 0.001 | 2.171478256909801
0.05 | 0.01| 5.0 | 0.001 | 2.171478256909801
0.05 | 0.01| 10.0 | 0.001 | 2.175655055485918
0.05 | 0.01| 10.0 | 0.001 | 2.175655055485918
0.1 | 0.01| 0.001 | 0.616 | 0.2634338474002776
0.1 | 0.01| 0.001 | 0.616 | 0.2634338474002776
0.1 | 0.01| 0.01 | 0.613 | 0.2678115101711815
0.1 | 0.01| 0.01 | 0.613 | 0.2678115101711815
0.1 | 0.01| 0.1 | 0.614 | 0.2746067362664603
0.1 | 0.01| 0.1 | 0.614 | 0.2746067362664603
0.1 | 0.01| 1.0 | 0.042 | 1.9955642148186161
0.1 | 0.01| 1.0 | 0.042 | 1.9955642148186161
0.1 | 0.01| 5.0 | 0.001 | 2.182080512958355
0.1 | 0.01| 5.0 | 0.001 | 2.182080512958355
0.1 | 0.01| 10.0 | 0.0 | 2.186377781519065
0.1 | 0.01| 10.0 | 0.0 | 2.186377781519065
