lr | wdecay | temp | M | opt-rate | regret
0.001 | 0.001 | 0.1 | 1 | 0.399 | 0.7418252505927627
0.001 | 0.0001 | 0.1 | 1 | 0.394 | 0.7500254666149295
0.001 | 0.0001 | 0.1 | 10 | 0.442 | 0.6290625362308404
0.001 | 0.001 | 0.1 | 10 | 0.442 | 0.6290625362308404
0.001 | 0.0001 | 0.1 | 20 | 0.473 | 0.5249973581308017
0.001 | 0.001 | 0.1 | 20 | 0.473 | 0.5249973581308017
0.001 | 0.001 | 1.0 | 1 | 0.394 | 0.7500254666149295
0.001 | 0.001 | 1.0 | 10 | 0.442 | 0.6290625362308404
0.001 | 0.0001 | 1.0 | 1 | 0.394 | 0.7500254666149295
0.001 | 0.001 | 1.0 | 20 | 0.473 | 0.5249973581308017
0.001 | 0.0001 | 1.0 | 10 | 0.442 | 0.6290625362308404
0.001 | 0.0001 | 1.0 | 20 | 0.473 | 0.5249973581308017
0.001 | 0.001 | 5.0 | 1 | 0.394 | 0.7500254666149295
0.001 | 0.001 | 5.0 | 10 | 0.442 | 0.6290625362308404
0.001 | 0.0001 | 5.0 | 1 | 0.394 | 0.7500254666149295
0.001 | 0.001 | 5.0 | 20 | 0.473 | 0.5249973581308017
0.001 | 0.0001 | 5.0 | 10 | 0.442 | 0.6290625362308404
0.001 | 0.001 | 10.0 | 1 | 0.394 | 0.7500254666149295
0.001 | 0.0001 | 5.0 | 20 | 0.473 | 0.5249973581308017
0.001 | 0.001 | 10.0 | 10 | 0.442 | 0.6290625362308404
0.001 | 0.0001 | 10.0 | 1 | 0.394 | 0.7500254666149295
0.001 | 0.001 | 10.0 | 20 | 0.473 | 0.5249973581308017
0.001 | 0.0001 | 10.0 | 10 | 0.442 | 0.6290625362308404
0.001 | 0.001 | 100.0 | 1 | 0.394 | 0.7500254666149295
0.001 | 0.0001 | 10.0 | 20 | 0.473 | 0.5249973581308017
0.001 | 0.001 | 100.0 | 10 | 0.442 | 0.6290625362308404
0.001 | 0.0001 | 100.0 | 1 | 0.394 | 0.7500254666149295
0.001 | 0.001 | 100.0 | 20 | 0.473 | 0.5249973581308017
0.001 | 0.0001 | 100.0 | 10 | 0.442 | 0.6290625362308404
0.01 | 0.001 | 0.1 | 1 | 0.525 | 0.44019214990553335
0.001 | 0.0001 | 100.0 | 20 | 0.473 | 0.5249973581308017
0.01 | 0.001 | 0.1 | 10 | 0.511 | 0.4579602091135653
0.01 | 0.0001 | 0.1 | 1 | 0.525 | 0.44019214990553335
0.01 | 0.0001 | 0.1 | 10 | 0.511 | 0.4579602091135653
0.01 | 0.001 | 0.1 | 20 | 0.522 | 0.42774921987016756
0.01 | 0.001 | 1.0 | 1 | 0.525 | 0.44019214990553335
0.01 | 0.0001 | 0.1 | 20 | 0.522 | 0.42774921987016756
0.01 | 0.001 | 1.0 | 10 | 0.511 | 0.4579602091135653
0.01 | 0.0001 | 1.0 | 1 | 0.525 | 0.44019214990553335
0.01 | 0.001 | 1.0 | 20 | 0.522 | 0.42774921987016756
0.01 | 0.0001 | 1.0 | 10 | 0.511 | 0.4579602091135653
0.01 | 0.001 | 5.0 | 1 | 0.525 | 0.44019214990553335
0.01 | 0.0001 | 1.0 | 20 | 0.522 | 0.42774921987016756
0.01 | 0.001 | 5.0 | 10 | 0.511 | 0.4579602091135653
0.01 | 0.0001 | 5.0 | 1 | 0.525 | 0.44019214990553335
0.01 | 0.0001 | 5.0 | 10 | 0.511 | 0.4579602091135653
0.01 | 0.001 | 5.0 | 20 | 0.522 | 0.42774921987016756
0.01 | 0.001 | 10.0 | 1 | 0.525 | 0.44019214990553335
0.01 | 0.0001 | 5.0 | 20 | 0.522 | 0.42774921987016756
0.01 | 0.001 | 10.0 | 10 | 0.511 | 0.4579602091135653
0.01 | 0.0001 | 10.0 | 1 | 0.525 | 0.44019214990553335
0.01 | 0.001 | 10.0 | 20 | 0.522 | 0.42774921987016756
0.01 | 0.0001 | 10.0 | 10 | 0.511 | 0.4579602091135653
0.01 | 0.001 | 100.0 | 1 | 0.525 | 0.44019214990553335
0.01 | 0.0001 | 10.0 | 20 | 0.522 | 0.42774921987016756
0.01 | 0.001 | 100.0 | 10 | 0.511 | 0.4579602091135653
0.01 | 0.0001 | 100.0 | 1 | 0.525 | 0.44019214990553335
0.01 | 0.0001 | 100.0 | 10 | 0.511 | 0.4579602091135653
0.01 | 0.001 | 100.0 | 20 | 0.522 | 0.42774921987016756
0.05 | 0.001 | 0.1 | 1 | 0.602 | 0.30600109614459975
0.01 | 0.0001 | 100.0 | 20 | 0.522 | 0.42774921987016756
0.05 | 0.001 | 0.1 | 10 | 0.588 | 0.3013275578775017
0.05 | 0.0001 | 0.1 | 1 | 0.602 | 0.30600109614459975
0.05 | 0.001 | 0.1 | 20 | 0.654 | 0.22778291770479753
0.05 | 0.0001 | 0.1 | 10 | 0.588 | 0.3013275578775017
0.05 | 0.001 | 1.0 | 1 | 0.602 | 0.30600109614459975
0.05 | 0.0001 | 0.1 | 20 | 0.654 | 0.22778291770479753
0.05 | 0.001 | 1.0 | 10 | 0.588 | 0.3013275578775017
0.05 | 0.0001 | 1.0 | 1 | 0.602 | 0.30600109614459975
0.05 | 0.001 | 1.0 | 20 | 0.654 | 0.22778291770479753
0.05 | 0.0001 | 1.0 | 10 | 0.588 | 0.3013275578775017
0.05 | 0.001 | 5.0 | 1 | 0.602 | 0.30600109614459975
0.05 | 0.0001 | 1.0 | 20 | 0.654 | 0.22778291770479753
0.05 | 0.001 | 5.0 | 10 | 0.588 | 0.3013275578775017
0.05 | 0.0001 | 5.0 | 1 | 0.602 | 0.30600109614459975
0.05 | 0.001 | 5.0 | 20 | 0.654 | 0.22778291770479753
0.05 | 0.0001 | 5.0 | 10 | 0.588 | 0.3013275578775017
0.05 | 0.001 | 10.0 | 1 | 0.602 | 0.30600109614459975
0.05 | 0.0001 | 5.0 | 20 | 0.654 | 0.22778291770479753
0.05 | 0.001 | 10.0 | 10 | 0.588 | 0.3013275578775017
0.05 | 0.0001 | 10.0 | 1 | 0.602 | 0.30600109614459975
0.05 | 0.0001 | 10.0 | 10 | 0.588 | 0.3013275578775017
0.05 | 0.001 | 10.0 | 20 | 0.654 | 0.22778291770479753
0.05 | 0.001 | 100.0 | 1 | 0.602 | 0.30600109614459975
0.05 | 0.0001 | 10.0 | 20 | 0.654 | 0.22778291770479753
0.05 | 0.001 | 100.0 | 10 | 0.588 | 0.3013275578775017
0.05 | 0.0001 | 100.0 | 1 | 0.602 | 0.30600109614459975
0.05 | 0.001 | 100.0 | 20 | 0.654 | 0.22778291770479753
0.05 | 0.0001 | 100.0 | 10 | 0.588 | 0.3013275578775017
0.1 | 0.001 | 0.1 | 1 | 0.672 | 0.20738589658683385
0.05 | 0.0001 | 100.0 | 20 | 0.654 | 0.22778291770479753
0.1 | 0.001 | 0.1 | 10 | 0.673 | 0.19239865388764682
0.1 | 0.0001 | 0.1 | 1 | 0.672 | 0.20738589658683385
0.1 | 0.001 | 0.1 | 20 | 0.753 | 0.11448095367586636
0.1 | 0.0001 | 0.1 | 10 | 0.673 | 0.19239865388764682
0.1 | 0.001 | 1.0 | 1 | 0.672 | 0.20738589658683385
0.1 | 0.0001 | 0.1 | 20 | 0.753 | 0.11448095367586636
0.1 | 0.001 | 1.0 | 10 | 0.673 | 0.19239865388764682
0.1 | 0.0001 | 1.0 | 1 | 0.672 | 0.20738589658683385
0.1 | 0.001 | 1.0 | 20 | 0.753 | 0.11448095367586636
0.1 | 0.0001 | 1.0 | 10 | 0.673 | 0.19239865388764682
0.1 | 0.001 | 5.0 | 1 | 0.672 | 0.20738589658683385
0.1 | 0.0001 | 1.0 | 20 | 0.753 | 0.11448095367586636
0.1 | 0.001 | 5.0 | 10 | 0.673 | 0.19239865388764682
0.1 | 0.0001 | 5.0 | 1 | 0.672 | 0.20738589658683385
0.1 | 0.0001 | 5.0 | 10 | 0.673 | 0.19239865388764682
0.1 | 0.001 | 5.0 | 20 | 0.753 | 0.11448095367586636
0.1 | 0.001 | 10.0 | 1 | 0.672 | 0.20738589658683385
0.1 | 0.0001 | 5.0 | 20 | 0.753 | 0.11448095367586636
0.1 | 0.001 | 10.0 | 10 | 0.673 | 0.19239865388764682
0.1 | 0.0001 | 10.0 | 1 | 0.672 | 0.20738589658683385
0.1 | 0.001 | 10.0 | 20 | 0.753 | 0.11448095367586636
0.1 | 0.0001 | 10.0 | 10 | 0.673 | 0.19239865388764682
0.1 | 0.001 | 100.0 | 1 | 0.672 | 0.20738589658683385
0.1 | 0.0001 | 10.0 | 20 | 0.753 | 0.11448095367586636
0.1 | 0.001 | 100.0 | 10 | 0.673 | 0.19239865388764682
0.1 | 0.0001 | 100.0 | 1 | 0.672 | 0.20738589658683385
0.1 | 0.0001 | 100.0 | 10 | 0.673 | 0.19239865388764682
0.1 | 0.001 | 100.0 | 20 | 0.753 | 0.11448095367586636
0.1 | 0.0001 | 100.0 | 20 | 0.753 | 0.11448095367586636
