lr | lambda | wdecay | temp | M | opt-rate | regret
0.1 | 0.01 | 0.0001 | 0.01 | 10 | 0.366 | 0.7993742654805187
0.1 | 0.01 | 0.0001 | 0.01 | 1 | 0.434 | 0.6292284490614739
0.1 | 0.01 | 0.0001 | 0.001 | 50 | 0.404 | 0.71573158111254
0.1 | 0.01 | 0.0001 | 0.001 | 10 | 0.369 | 0.7801740288332227
0.1 | 0.01 | 0.0001 | 0.001 | 20 | 0.418 | 0.662785626592517
0.1 | 0.01 | 0.0001 | 0.001 | 1 | 0.427 | 0.6270754693700581
0.1 | 0.01 | 0.0001 | 0.01 | 20 | 0.429 | 0.6243531120906285
0.1 | 0.01 | 0.0001 | 0.01 | 50 | 0.41 | 0.6993335253145078
0.1 | 0.01 | 0.0001 | 0.1 | 10 | 0.281 | 1.0513135747228215
0.1 | 0.01 | 0.0001 | 0.1 | 1 | 0.296 | 1.00963193285822
0.1 | 0.01 | 0.0001 | 0.1 | 20 | 0.3 | 0.9403943601461899
0.1 | 0.01 | 0.0001 | 0.1 | 50 | 0.244 | 1.1883514528832924
0.1 | 0.01 | 0.0001 | 1.0 | 1 | 0.147 | 1.4955187744946397
0.1 | 0.01 | 0.0001 | 1.0 | 10 | 0.043 | 1.9213354372496676
0.1 | 0.01 | 0.0001 | 1.0 | 50 | 0.027 | 2.0137886509419616
0.1 | 0.01 | 0.0001 | 1.0 | 20 | 0.028 | 1.9639594684810524
0.1 | 0.01 | 0.0001 | 5.0 | 1 | 0.135 | 1.5386869711309288
0.1 | 0.01 | 0.0001 | 5.0 | 10 | 0.028 | 1.9840279927410422
0.1 | 0.01 | 0.0001 | 5.0 | 20 | 0.019 | 2.005316699945158
0.1 | 0.01 | 0.0001 | 5.0 | 50 | 0.02 | 2.0362779229031944
0.1 | 0.01 | 0.0001 | 10.0 | 10 | 0.028 | 1.9861381907073936
0.1 | 0.01 | 0.0001 | 10.0 | 50 | 0.02 | 2.0350905587036308
0.1 | 0.01 | 0.0001 | 10.0 | 1 | 0.135 | 1.539040507186438
0.1 | 0.01 | 0.0001 | 10.0 | 20 | 0.017 | 2.0116328112072166
